player_id,team_id,player_name,matches_played,starts,sub_on_appearances,sub_off_appearances,avg_sub_on_minute,avg_sub_off_minute,typical_role
2938,48,James Ward-Prowse,3,3,0,2,,73.0,UNK
19428,48,Jarrod Bowen,3,3,0,0,,,UNK
138,48,Jean-Clair Todibo,2,2,1,2,,64.0,UNK
1445,48,Konstantinos Mavropanos,1,1,2,0,,,UNK
171,48,Kyle Walker-Peters,2,1,2,0,70.0,,UNK
1646,48,Lucas Paquetá,3,3,0,0,,,UNK
15870,48,Mads Hermansen,3,3,0,0,,,UNK
336585,48,Mateus Fernandes,1,1,0,1,,82.0,UNK
18744,48,Max Kilman,3,3,0,0,,,UNK
21694,48,Nayef Aguerd,2,2,0,0,,,UNK
25391,48,Niclas Füllkrug,3,3,0,2,,55.0,UNK
327730,48,Oliver Scarles,0,0,3,0,,,UNK
1243,48,Tomáš Souček,3,2,1,1,71.0,70.0,UNK
305834,49,Andrey Santos,3,0,3,0,74.0,,UNK
152982,49,Cole Palmer,1,1,0,0,,,UNK
308678,49,Dário Essugo,0,0,3,0,,,UNK
5996,49,Enzo Fernández,3,3,0,1,,79.0,UNK
425733,49,Estêvão Willian,3,2,1,2,54.0,72.5,UNK
286616,49,Filip Jørgensen,0,0,3,0,,,UNK
64167,49,Gabriel Słonina,0,0,1,0,,,UNK
286894,49,Jamie Gittens,3,1,2,1,72.5,54.0,UNK
341642,49,Jorrel Hato,1,0,3,0,69.0,,UNK
366735,49,Josh Acheampong,1,1,2,0,,,UNK
10329,49,João Pedro,3,3,0,1,,73.0,UNK
161948,49,Liam Delap,3,2,1,2,73.0,38.0,UNK
161907,49,Malo Gusto,3,2,1,1,79.0,69.0,UNK
47380,49,Marc Cucurella,3,3,0,1,,69.0,UNK
116117,49,Moisés Caicedo,3,3,0,0,,,UNK
1864,49,Pedro Neto,3,3,0,1,,81.0,UNK
19545,49,Reece James,3,1,2,1,75.0,79.0,UNK
18959,49,Robert Sánchez,3,3,0,0,,,UNK
19145,49,Tosin Adarabioyo,2,2,0,0,,,UNK
19720,49,Trevoh Chalobah,3,3,0,1,,69.0,UNK
334037,49,Tyrique George,1,0,2,0,14.0,,UNK
22094,49,Wesley Fofana,1,0,3,0,69.0,,UNK
360114,50,Abdukodir Khusanov,2,1,2,1,82.0,85.0,UNK
636,50,Bernardo Silva,3,2,1,2,54.0,69.0,UNK
617,50,Ederson,0,0,2,0,,,UNK
1100,50,Erling Haaland,3,3,0,1,,73.0,UNK
162489,50,James Trafford,3,3,0,0,,,UNK
626,50,John Stones,3,3,0,1,,82.0,UNK
1422,50,Jérémy Doku,3,1,2,1,63.0,66.0,UNK
5,50,Manuel Akanji,0,0,2,0,,,UNK
41621,50,Matheus Nunes,2,1,2,1,66.0,85.0,UNK
18861,50,Nathan Aké,1,0,3,0,23.0,,UNK
161933,50,Nico González,2,2,1,1,,75.0,UNK
307123,50,Nico O'Reilly,2,0,3,0,69.0,,UNK
81573,50,Omar Marmoush,3,2,1,2,66.0,63.0,UNK
278133,50,Oscar Bobb,3,3,0,1,,75.0,UNK
631,50,Phil Foden,1,0,1,0,75.0,,UNK
21138,50,Rayan Aït-Nouri,3,3,0,1,,23.0,UNK
156477,50,Rayan Cherki,2,1,1,1,73.0,54.0,UNK
284230,50,Rico Lewis,3,2,1,1,85.0,66.0,UNK
44,50,Rodri,2,1,1,0,75.0,,UNK
567,50,Rúben Dias,3,2,1,0,85.0,,UNK
25004,50,Stefan Ortega,0,0,1,0,,,UNK
36902,50,Tijjani Reijnders,3,3,0,0,,,UNK
633,50,İlkay Gündoğan,0,0,2,0,,,UNK
129058,51,Bart Verbruggen,3,3,0,0,,,UNK
328225,51,Brajan Gruda,3,0,3,0,76.33333333333333,,UNK
356041,51,Carlos Baleba,3,3,0,3,,58.333333333333336,UNK
1469,51,Danny Welbeck,3,2,1,1,69.0,61.0,UNK
342063,51,Diego Coppola,1,0,3,0,90.0,,UNK
278370,51,Diego Gómez,3,1,2,1,68.0,61.0,UNK
1361,51,Ferdi Kadıoğlu,2,0,3,0,68.0,,UNK
90590,51,Georginio Rutter,2,1,1,1,61.0,69.0,UNK
305730,51,Jack Hinshelwood,2,1,1,1,46.0,61.0,UNK
296,51,James Milner,2,0,3,0,74.0,,UNK
38695,51,Jan Paul van Hecke,3,3,0,0,,,UNK
18960,51,Jason Steele,0,0,3,0,,,UNK
537,51,Joël Veltman,1,1,2,0,,,UNK
106835,51,Kaoru Mitoma,3,3,0,1,,83.0,UNK
18963,51,Lewis Dunk,3,3,0,0,,,UNK
92993,51,Mats Wieffer,2,2,0,1,,85.0,UNK
19030,51,Matt O'Riley,2,2,1,1,,88.0,UNK
162007,51,Maxim De Cuyper,3,3,0,1,,67.0,UNK
22160,51,Olivier Boscagli,0,0,3,0,,,UNK
383685,51,Yankuba Minteh,3,3,0,2,,79.5,UNK
265820,51,Yasin Ayari,3,2,1,1,61.0,67.0,UNK
288102,52,Adam Wharton,3,3,0,2,,69.0,UNK
26303,52,Borna Sosa,0,0,3,0,,,UNK
