fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378974,44,22,F,,,W,wide forward / winger,UNK,UNK
1378974,44,270508,M,,,CM,central / attacking midfielder,UNK,UNK
1378974,44,37882,F,,,W,wide forward / winger,UNK,UNK
1378974,44,161621,F,,,W,wide forward / winger,UNK,UNK
1378974,44,36927,M,,,CM,central / attacking midfielder,UNK,UNK
1378974,44,278079,M,,,CM,central / attacking midfielder,UNK,UNK
1378974,44,330238,D,,,FB,full-back / wing-back,UNK,UNK
1378971,51,129058,G,1.0,1.0,GK,goalkeeper,L,deep
1378971,51,92993,D,2.0,4.0,FB,full-back / wing-back,L,high
1378971,51,38695,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378971,51,18963,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378971,51,162007,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378971,51,356041,M,3.0,2.0,DM,defensive midfielder,C,deep
1378971,51,265820,M,3.0,1.0,DM,defensive midfielder,C,deep
1378971,51,383685,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378971,51,19030,M,4.0,2.0,DM,defensive midfielder,R,deep
1378971,51,106835,M,4.0,1.0,DM,defensive midfielder,R,deep
1378971,51,90590,F,5.0,1.0,W,wide forward / winger,R,deep
1378971,51,328225,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,51,1469,F,,,W,wide forward / winger,UNK,UNK
1378971,51,296,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,51,22160,D,,,FB,full-back / wing-back,UNK,UNK
1378971,51,18960,G,,,GK,goalkeeper,UNK,UNK
1378971,51,1361,D,,,FB,full-back / wing-back,UNK,UNK
1378971,51,278370,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,51,537,D,,,FB,full-back / wing-back,UNK,UNK
1378971,51,342063,D,,,FB,full-back / wing-back,UNK,UNK
1378971,36,1438,G,1.0,1.0,GK,goalkeeper,L,deep
1378971,36,657,D,2.0,4.0,FB,full-back / wing-back,L,high
1378971,36,2729,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378971,36,131,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378971,36,152967,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378971,36,2823,M,3.0,2.0,DM,defensive midfielder,C,deep
1378971,36,1934,M,3.0,1.0,DM,defensive midfielder,C,deep
1378971,36,19221,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378971,36,389315,M,4.0,2.0,DM,defensive midfielder,R,deep
1378971,36,1455,M,4.0,1.0,DM,defensive midfielder,R,deep
1378971,36,2887,F,5.0,1.0,W,wide forward / winger,R,deep
1378971,36,19480,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,36,195106,F,,,W,wide forward / winger,UNK,UNK
1378971,36,19025,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,36,18753,F,,,W,wide forward / winger,UNK,UNK
1378971,36,899,M,,,CM,central / attacking midfielder,UNK,UNK
1378971,36,2920,D,,,FB,full-back / wing-back,UNK,UNK
1378971,36,21566,G,,,GK,goalkeeper,UNK,UNK
1378971,36,18814,D,,,FB,full-back / wing-back,UNK,UNK
