fixture_id,team_id,opponent_team_id,player_id,player_name,minutes,position,role,side,band,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles,subbed_on,subbed_off,sub_on_min,sub_off_min
1378970,34,66,20355,Aaron Ramsdale,,G,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,284492,Lewis Hall,,D,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,38734,Sven Botman,,D,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,163189,Malick Thiaw,,D,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,2855,Emil Krafth,,D,,,,,,,,0,0,,,,,True,False,,
1378970,34,66,526535,Park Seung-soo,,F,,,,,,,,0,0,,,,,True,False,,
1378974,47,44,31354,Guglielmo Vicario,90.0,G,,,,,,,,0,0,,,,,False,False,,
1378974,47,44,47519,Pedro Porro,90.0,D,,,,1.0,,2.0,1.0,0,0,10.0,4.0,2.0,1.0,False,False,,
1378974,47,44,30776,Cristian Romero,90.0,D,,,,,,3.0,1.0,0,0,10.0,5.0,,,False,False,,
1378974,47,44,152849,Micky van de Ven,90.0,D,,,,2.0,,,1.0,0,0,8.0,5.0,1.0,1.0,False,False,,
1378974,47,44,19235,Djed Spence,90.0,D,,,,2.0,1.0,1.0,,0,0,4.0,2.0,,1.0,False,False,,
1378974,47,44,237129,Pape Matar Sarr,90.0,M,,,,,,,1.0,0,0,15.0,10.0,2.0,4.0,False,False,,
1378974,47,44,328089,Archie Gray,71.0,M,,,,,,3.0,,0,0,9.0,3.0,1.0,,False,False,,
1378974,47,44,347316,Lucas Bergvall,80.0,M,,,,1.0,1.0,1.0,,0,0,9.0,4.0,2.0,2.0,False,False,,
1378974,47,44,15911,Mohammed Kudus,85.0,F,,,,2.0,,,2.0,0,0,8.0,5.0,1.0,3.0,False,False,,
1378974,47,44,2413,Richarlison,71.0,F,,,,4.0,3.0,1.0,,0,0,8.0,5.0,,2.0,False,False,,
1378974,47,44,129711,Brennan Johnson,80.0,F,,,,2.0,1.0,,,0,0,3.0,1.0,1.0,,False,False,,
1378974,47,44,863,Rodrigo Bentancur,19.0,M,,,,,,,,0,0,1.0,1.0,1.0,,True,False,,
1378974,47,44,18883,Dominic Solanke,19.0,F,,,,1.0,,,1.0,0,0,2.0,2.0,1.0,,True,False,,
1378974,47,44,41104,João Palhinha,10.0,M,,,,,,1.0,,0,0,1.0,,,,True,False,,
1378974,47,44,336564,Wilson Odobert,10.0,F,,,,,,,,0,0,,,,,True,False,,
1378974,47,44,270510,Mathys Tel,9.0,F,,,,,,2.0,,0,0,4.0,,,,True,False,,
1378974,47,44,265826,Antonín Kinský,,G,,,,,,,,0,0,,,,,True,False,,
1378974,47,44,387521,Luka Vušković,,D,,,,,,,,0,0,,,,,True,False,,
1378974,47,44,25287,Kevin Danso,,D,,,,,,,,0,0,,,,,True,False,,
1378974,47,44,164,Ben Davies,,D,,,,,,,,0,0,,,,,True,False,,
1378974,44,47,18886,Martin Dúbravka,90.0,G,,,,,,,,0,0,2.0,,,,False,False,,
1378974,44,47,128895,Oliver Sonne,74.0,D,,,,1.0,,,,0,0,2.0,2.0,,1.0,False,False,,
1378974,44,47,627,Kyle Walker,90.0,D,,,,1.0,,,2.0,0,0,7.0,4.0,,,False,False,,
1378974,44,47,47903,Hjalmar Ekdal,90.0,D,,,,,,1.0,,0,0,7.0,3.0,,,False,False,,
1378974,44,47,179400,Maxime Estève,90.0,D,,,,1.0,1.0,1.0,1.0,0,0,8.0,4.0,,,False,False,,
1378974,44,47,375915,Quilindschy Hartman,90.0,D,,,,,,1.0,,0,0,6.0,3.0,1.0,,False,False,,
1378974,44,47,180560,Hannibal Mejbri,63.0,M,,,,1.0,,,3.0,0,0,8.0,5.0,,3.0,False,False,,
1378974,44,47,20303,Josh Laurent,63.0,M,,,,3.0,2.0,1.0,1.0,0,0,7.0,3.0,1.0,,False,False,,
1378974,44,47,19827,Josh Cullen,90.0,M,,,,,,,1.0,0,0,9.0,4.0,3.0,,False,False,,
1378974,44,47,196855,Jaidon Anthony,85.0,M,,,,2.0,1.0,,3.0,0,0,9.0,4.0,,2.0,False,False,,
1378974,44,47,98936,Lyle Foster,74.0,F,,,,1.0,,3.0,2.0,0,0,15.0,8.0,,2.0,False,False,,
1378974,44,47,22,Jacob Bruun Larsen,27.0,F,,,,,,,,0,0,4.0,1.0,,1.0,True,False,,
1378974,44,47,270508,Lesley Ugochukwu,27.0,M,,,,1.0,,1.0,1.0,0,0,3.0,1.0,,,True,False,,
1378974,44,47,36927,Zian Flemming,16.0,M,,,,,,,,0,0,2.0,1.0,,,True,False,,
1378974,44,47,161621,Loum Tchaouna,16.0,F,,,,,,,,0,0,3.0,2.0,1.0,1.0,True,False,,
1378974,44,47,37882,Marcus Edwards,9.0,F,,,,,,,,0,0,,,,,True,False,,
1378974,44,47,328273,Max Weiss,,G,,,,,,,,0,0,,,,,True,False,,
1378974,44,47,1746,Joe Worrall,,D,,,,,,,,0,0,,,,,True,False,,
1378974,44,47,330238,Lucas Pires,,D,,,,,,,,0,0,,,,,True,False,,
1378974,44,47,278079,Aaron Ramsey,,M,,,,,,,,0,0,,,,,True,False,,
1378971,51,36,129058,Bart Verbruggen,90.0,G,,,,,,,,0,0,,,,,False,False,,
1378971,51,36,92993,Mats Wieffer,90.0,D,,,,1.0,1.0,1.0,,0,0,15.0,9.0,5.0,,False,False,,
1378971,51,36,38695,Jan Paul van Hecke,90.0,D,,,,,,,1.0,0,0,4.0,4.0,1.0,,False,False,,
1378971,51,36,18963,Lewis Dunk,90.0,D,,,,1.0,,,2.0,0,0,9.0,9.0,1.0,1.0,False,False,,
1378971,51,36,162007,Maxim De Cuyper,90.0,D,,,,,,3.0,1.0,0,0,10.0,3.0,2.0,1.0,False,False,,
1378971,51,36,356041,Carlos Baleba,69.0,M,,,,1.0,,2.0,2.0,0,0,6.0,3.0,1.0,,False,False,,
1378971,51,36,265820,Yasin Ayari,90.0,M,,,,,,,4.0,0,0,9.0,5.0,1.0,1.0,False,False,,
1378971,51,36,383685,Yankuba Minteh,69.0,M,,,,1.0,,,1.0,0,0,5.0,3.0,,3.0,False,False,,
1378971,51,36,19030,Matt O'Riley,88.0,M,,,,1.0,1.0,1.0,,0,0,7.0,3.0,3.0,1.0,False,False,,
1378971,51,36,106835,Kaoru Mitoma,83.0,M,,,,1.0,,3.0,,1,0,7.0,1.0,,3.0,False,False,,
1378971,51,36,90590,Georginio Rutter,69.0,F,,,,1.0,1.0,2.0,2.0,0,0,10.0,4.0,1.0,1.0,False,False,,
1378971,51,36,1361,Ferdi Kadıoğlu,21.0,D,,,,,,2.0,1.0,1,0,4.0,1.0,,,True,False,,
1378971,51,36,278370,Diego Gómez,21.0,M,,,,1.0,1.0,2.0,1.0,1,0,6.0,3.0,2.0,,True,False,,
1378971,51,36,1469,Danny Welbeck,21.0,F,,,,,,,,0,0,1.0,1.0,1.0,,True,False,,
1378971,51,36,328225,Brajan Gruda,8.0,M,,,,1.0,,,,0,0,2.0,2.0,1.0,,True,False,,
1378971,51,36,296,James Milner,10.0,M,,,,,,,,0,0,,,,,True,False,,
1378971,51,36,18960,Jason Steele,,G,,,,,,,,0,0,,,,,True,False,,
1378971,51,36,22160,Olivier Boscagli,,D,,,,,,,,0,0,,,,,True,False,,
1378971,51,36,537,Joël Veltman,,D,,,,,,,,0,0,,,,,True,False,,
1378971,51,36,342063,Diego Coppola,,D,,,,,,,,0,0,,,,,True,False,,
1378971,36,51,1438,Bernd Leno,90.0,G,,,,,,,1.0,0,0,1.0,1.0,,,False,False,,
1378971,36,51,657,Kenny Tete,90.0,D,,,,,,1.0,3.0,0,0,9.0,7.0,3.0,,False,False,,
1378971,36,51,2729,Joachim Andersen,90.0,D,,,,,,1.0,2.0,0,0,9.0,7.0,3.0,1.0,False,False,,
1378971,36,51,131,Jorge Cuenca,84.0,D,,,,,,,,0,0,3.0,2.0,1.0,,False,False,,
1378971,36,51,152967,Calvin Bassey,90.0,D,,,,,,1.0,1.0,1,0,12.0,6.0,2.0,2.0,False,False,,
1378971,36,51,2823,Saša Lukić,90.0,M,,,,,,5.0,2.0,0,0,12.0,5.0,1.0,1.0,False,False,,
1378971,36,51,1934,Sander Berge,66.0,M,,,,,,2.0,,0,0,3.0,1.0,1.0,,False,False,,
1378971,36,51,19221,Harry Wilson,90.0,M,,,,1.0,,,3.0,0,0,7.0,5.0,1.0,2.0,False,False,,
