player_id,team_id,player_name,minutes_total,games,starts,sub_apps,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles,avg_minutes,shots_total_per90,shots_on_per90,fouls_committed_per90,fouls_drawn_per90,yellow_cards_per90,red_cards_per90,duels_total_per90,duels_won_per90,tackles_per90,dribbles_per90,typical_role,typical_side,typical_band
18778,34,Harvey Barnes,188.0,3,2,1,1.0,0.0,1.0,3.0,0,0,11.0,5.0,1.0,4.0,62.666666666666664,0.4787234042553192,0.0,0.4787234042553192,1.4361702127659575,0.0,0.0,5.26595744680851,2.393617021276596,0.4787234042553192,1.9148936170212767,UNK,R,deep
19163,34,Jacob Murphy,75.0,2,1,1,3.0,2.0,0.0,1.0,0,0,8.0,3.0,0.0,6.0,37.5,3.6,2.4,0.0,1.2,0.0,0.0,9.6,3.6,0.0,7.2,UNK,UNK,UNK
19192,34,Jacob Ramsey,59.0,2,1,1,0.0,0.0,0.0,0.0,0,0,3.0,2.0,1.0,1.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,4.576271186440678,3.0508474576271185,1.5254237288135593,1.5254237288135593,UNK,C,UNK
18894,34,Jamaal Lascelles,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
1463,34,Joe Willock,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
723,34,Joelinton,159.0,2,2,0,0.0,0.0,2.0,3.0,1,0,20.0,11.0,4.0,1.0,79.5,0.0,0.0,1.1320754716981132,1.6981132075471699,0.5660377358490566,0.0,11.320754716981131,6.226415094339623,2.2641509433962264,0.5660377358490566,UNK,C,deep
169,34,Kieran Trippier,227.0,3,3,0,0.0,0.0,6.0,2.0,0,0,16.0,5.0,1.0,0.0,75.66666666666667,0.0,0.0,2.3788546255506606,0.7929515418502202,0.0,0.0,6.343612334801762,1.9823788546255507,0.3964757709251101,0.0,UNK,L,high
284492,34,Lewis Hall,43.0,2,0,2,1.0,0.0,1.0,0.0,0,0,5.0,2.0,2.0,0.0,21.5,2.0930232558139537,0.0,2.0930232558139537,0.0,0.0,0.0,10.465116279069768,4.186046511627907,4.186046511627907,0.0,UNK,UNK,UNK
328105,34,Lewis Miley,77.0,3,0,3,0.0,0.0,0.0,0.0,0,0,4.0,2.0,1.0,0.0,25.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,4.675324675324675,2.3376623376623376,1.1688311688311688,0.0,UNK,UNK,UNK
163189,34,Malick Thiaw,9.0,1,0,1,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,UNK,UNK,UNK
18911,34,Nick Pope,270.0,3,3,0,0.0,0.0,0.0,0.0,1,0,3.0,3.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,UNK,L,deep
526535,34,Park Seung-soo,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNK,UNK,UNK
31146,34,Sandro Tonali,246.0,3,3,0,1.0,0.0,2.0,4.0,0,0,13.0,6.0,2.0,2.0,82.0,0.36585365853658536,0.0,0.7317073170731707,1.4634146341463414,0.0,0.0,4.7560975609756095,2.1951219512195124,0.7317073170731707,0.7317073170731707,UNK,C,deep
38734,34,Sven Botman,68.0,1,1,0,0.0,0.0,1.0,0.0,0,0,6.0,4.0,2.0,0.0,68.0,0.0,0.0,1.3235294117647058,0.0,0.0,0.0,7.9411764705882355,5.294117647058823,2.6470588235294117,0.0,UNK,UNK,UNK
158694,34,Valentino Livramento,270.0,3,3,0,0.0,0.0,1.0,5.0,0,0,22.0,12.0,2.0,7.0,90.0,0.0,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,7.333333333333333,4.0,0.6666666666666666,2.3333333333333335,UNK,L,deep
315237,34,William Osula,105.0,3,1,2,1.0,1.0,8.0,1.0,0,0,18.0,6.0,1.0,4.0,35.0,0.8571428571428571,0.8571428571428571,6.857142857142857,0.8571428571428571,0.0,0.0,15.428571428571429,5.142857142857143,0.8571428571428571,3.4285714285714284,UNK,UNK,UNK
18869,35,Adam Smith,206.0,3,3,0,0.0,0.0,3.0,3.0,0,0,16.0,7.0,1.0,0.0,68.66666666666667,0.0,0.0,1.3106796116504855,1.3106796116504855,0.0,0.0,6.990291262135922,3.058252427184466,0.4368932038834951,0.0,UNK,L,high
